token,ticker,ticker_perp,unlock_date,unlock_ts_utc,unlock_pct_supply,unlock_amount_token,unlock_amount_usd_est,allocation_category,cliff_or_linear,source_url_1,source_url_2,cross_validated,notes
Arbitrum,ARB,ARBUSDT,2025-09-16,2025-09-16T00:00:00+00:00,0.5612,56116020.0,,Team & Advisors,linear,https://cryptorank.io/price/arbitrum/vesting,https://tokenomist.ai/arbitrum,False,partial_coverage_single_allocation
Merlin Chain,MERL,MERLUSDT,2025-09-19,2025-09-19T00:00:00+00:00,0.8332,17497200.0,,Ecosystem,linear,https://cryptorank.io/price/merlin-chain/vesting,https://tokenomist.ai/merlin-chain,False,partial_coverage_single_allocation
Pixels,PIXEL,PIXELUSDT,2025-09-19,2025-09-19T00:00:00+00:00,0.5573,27863000.0,,Ecosystem Rewards,linear,https://cryptorank.io/price/pixels/vesting,https://tokenomist.ai/pixels,False,partial_coverage_single_allocation
LayerZero,ZRO,ZROUSDT,2025-09-20,2025-09-20T00:00:00+00:00,1.3418,13417740.0,,Strategic Partners,linear,https://cryptorank.io/price/layerzero/vesting,https://tokenomist.ai/layerzero,False,partial_coverage_single_allocation
AltLayer,ALT,ALTUSDT,2025-09-25,2025-09-25T00:00:00+00:00,0.5227,52266500.0,,Foundation/Treasury,linear,https://cryptorank.io/price/altlayer/vesting,https://tokenomist.ai/altlayer,False,partial_coverage_single_allocation
Portal,PORTAL,PORTALUSDT,2025-09-29,2025-09-29T00:00:00+00:00,1.173,11730000.0,,Team & Advisors,linear,https://cryptorank.io/price/portal-coin/vesting,https://tokenomist.ai/portal-coin,False,partial_coverage_single_allocation
Renzo,REZ,REZUSDT,2025-09-30,2025-09-30T00:00:00+00:00,2.367,236700000.0,,Investors,linear,https://cryptorank.io/price/renzo-protocol/vesting,https://tokenomist.ai/renzo-protocol,False,partial_coverage_single_allocation
EigenCloud,EIGEN,EIGENUSDT,2025-10-01,2025-10-01T00:00:00+00:00,1.0982,19749030.68,,Investors,linear,https://cryptorank.io/price/eigenlayer/vesting,https://tokenomist.ai/eigenlayer,False,partial_coverage_single_allocation
BounceBit,BB,BBUSDT,2025-10-13,2025-10-13T00:00:00+00:00,1.05,22050000.0,,Investors,linear,https://cryptorank.io/price/bouncebit/vesting,https://tokenomist.ai/bouncebit,False,partial_coverage_single_allocation
StarkNet,STRK,STRKUSDT,2025-10-15,2025-10-15T00:00:00+00:00,0.6692,66921576.0,,Early Contributors,linear,https://cryptorank.io/price/starknet/vesting,https://tokenomist.ai/starknet,False,partial_coverage_single_allocation
Arbitrum,ARB,ARBUSDT,2025-10-16,2025-10-16T00:00:00+00:00,0.5612,56116020.0,,Team & Advisors,linear,https://cryptorank.io/price/arbitrum/vesting,https://tokenomist.ai/arbitrum,False,partial_coverage_single_allocation
Merlin Chain,MERL,MERLUSDT,2025-10-19,2025-10-19T00:00:00+00:00,0.8332,17497200.0,,Ecosystem,linear,https://cryptorank.io/price/merlin-chain/vesting,https://tokenomist.ai/merlin-chain,False,partial_coverage_single_allocation
Pixels,PIXEL,PIXELUSDT,2025-10-19,2025-10-19T00:00:00+00:00,0.5573,27863000.0,,Ecosystem Rewards,linear,https://cryptorank.io/price/pixels/vesting,https://tokenomist.ai/pixels,False,partial_coverage_single_allocation
LayerZero,ZRO,ZROUSDT,2025-10-20,2025-10-20T00:00:00+00:00,1.3418,13417740.0,,Strategic Partners,linear,https://cryptorank.io/price/layerzero/vesting,https://tokenomist.ai/layerzero,False,partial_coverage_single_allocation
Scroll,SCR,SCRUSDT,2025-10-22,2025-10-22T00:00:00+00:00,4.25,42500000.0,,Ecosystem & Growth,linear,https://cryptorank.io/price/scroll/vesting,https://tokenomist.ai/scroll,False,partial_coverage_single_allocation
AltLayer,ALT,ALTUSDT,2025-10-25,2025-10-25T00:00:00+00:00,0.5227,52266500.0,,Foundation/Treasury,linear,https://cryptorank.io/price/altlayer/vesting,https://tokenomist.ai/altlayer,False,partial_coverage_single_allocation
Grass,GRASS,GRASSUSDT,2025-10-28,2025-10-28T00:00:00+00:00,12.6,126000000.0,,Early Investors,linear,https://cryptorank.io/price/grass/vesting,https://tokenomist.ai/grass,False,partial_coverage_single_allocation
Portal,PORTAL,PORTALUSDT,2025-10-29,2025-10-29T00:00:00+00:00,1.173,11730000.0,,Team & Advisors,linear,https://cryptorank.io/price/portal-coin/vesting,https://tokenomist.ai/portal-coin,False,partial_coverage_single_allocation
Renzo,REZ,REZUSDT,2025-10-31,2025-10-31T00:00:00+00:00,2.367,236700000.0,,Investors,linear,https://cryptorank.io/price/renzo-protocol/vesting,https://tokenomist.ai/renzo-protocol,False,partial_coverage_single_allocation
EigenCloud,EIGEN,EIGENUSDT,2025-11-01,2025-11-01T00:00:00+00:00,1.0982,19749030.68,,Investors,linear,https://cryptorank.io/price/eigenlayer/vesting,https://tokenomist.ai/eigenlayer,False,partial_coverage_single_allocation
BounceBit,BB,BBUSDT,2025-11-13,2025-11-13T00:00:00+00:00,1.05,22050000.0,,Investors,linear,https://cryptorank.io/price/bouncebit/vesting,https://tokenomist.ai/bouncebit,False,partial_coverage_single_allocation
StarkNet,STRK,STRKUSDT,2025-11-15,2025-11-15T00:00:00+00:00,0.6692,66921576.0,,Early Contributors,linear,https://cryptorank.io/price/starknet/vesting,https://tokenomist.ai/starknet,False,partial_coverage_single_allocation
Arbitrum,ARB,ARBUSDT,2025-11-16,2025-11-16T00:00:00+00:00,0.5612,56116020.0,,Team & Advisors,linear,https://cryptorank.io/price/arbitrum/vesting,https://tokenomist.ai/arbitrum,False,partial_coverage_single_allocation
Merlin Chain,MERL,MERLUSDT,2025-11-19,2025-11-19T00:00:00+00:00,0.8332,17497200.0,,Ecosystem,linear,https://cryptorank.io/price/merlin-chain/vesting,https://tokenomist.ai/merlin-chain,False,partial_coverage_single_allocation
Pixels,PIXEL,PIXELUSDT,2025-11-19,2025-11-19T00:00:00+00:00,0.5573,27863000.0,,Ecosystem Rewards,linear,https://cryptorank.io/price/pixels/vesting,https://tokenomist.ai/pixels,False,partial_coverage_single_allocation
LayerZero,ZRO,ZROUSDT,2025-11-20,2025-11-20T00:00:00+00:00,1.3418,13417740.0,,Strategic Partners,linear,https://cryptorank.io/price/layerzero/vesting,https://tokenomist.ai/layerzero,False,partial_coverage_single_allocation
AltLayer,ALT,ALTUSDT,2025-11-25,2025-11-25T00:00:00+00:00,0.5227,52266500.0,,Foundation/Treasury,linear,https://cryptorank.io/price/altlayer/vesting,https://tokenomist.ai/altlayer,False,partial_coverage_single_allocation
Grass,GRASS,GRASSUSDT,2025-11-28,2025-11-28T00:00:00+00:00,1.0501,10500840.0,,Early Investors,linear,https://cryptorank.io/price/grass/vesting,https://tokenomist.ai/grass,False,partial_coverage_single_allocation
Portal,PORTAL,PORTALUSDT,2025-11-29,2025-11-29T00:00:00+00:00,1.173,11730000.0,,Team & Advisors,linear,https://cryptorank.io/price/portal-coin/vesting,https://tokenomist.ai/portal-coin,False,partial_coverage_single_allocation
Renzo,REZ,REZUSDT,2025-11-30,2025-11-30T00:00:00+00:00,2.367,236700000.0,,Investors,linear,https://cryptorank.io/price/renzo-protocol/vesting,https://tokenomist.ai/renzo-protocol,False,partial_coverage_single_allocation
EigenCloud,EIGEN,EIGENUSDT,2025-12-01,2025-12-01T00:00:00+00:00,1.0982,19749030.68,,Investors,linear,https://cryptorank.io/price/eigenlayer/vesting,https://tokenomist.ai/eigenlayer,False,partial_coverage_single_allocation
BounceBit,BB,BBUSDT,2025-12-13,2025-12-13T00:00:00+00:00,1.05,22050000.0,,Investors,linear,https://cryptorank.io/price/bouncebit/vesting,https://tokenomist.ai/bouncebit,False,partial_coverage_single_allocation
StarkNet,STRK,STRKUSDT,2025-12-15,2025-12-15T00:00:00+00:00,0.6692,66921576.0,,Early Contributors,linear,https://cryptorank.io/price/starknet/vesting,https://tokenomist.ai/starknet,False,partial_coverage_single_allocation
Arbitrum,ARB,ARBUSDT,2025-12-16,2025-12-16T00:00:00+00:00,0.5612,56116020.0,,Team & Advisors,linear,https://cryptorank.io/price/arbitrum/vesting,https://tokenomist.ai/arbitrum,False,partial_coverage_single_allocation
Merlin Chain,MERL,MERLUSDT,2025-12-19,2025-12-19T00:00:00+00:00,0.8332,17497200.0,,Ecosystem,linear,https://cryptorank.io/price/merlin-chain/vesting,https://tokenomist.ai/merlin-chain,False,partial_coverage_single_allocation
Pixels,PIXEL,PIXELUSDT,2025-12-19,2025-12-19T00:00:00+00:00,0.5573,27863000.0,,Ecosystem Rewards,linear,https://cryptorank.io/price/pixels/vesting,https://tokenomist.ai/pixels,False,partial_coverage_single_allocation
LayerZero,ZRO,ZROUSDT,2025-12-20,2025-12-20T00:00:00+00:00,1.3418,13417740.0,,Strategic Partners,linear,https://cryptorank.io/price/layerzero/vesting,https://tokenomist.ai/layerzero,False,partial_coverage_single_allocation
AltLayer,ALT,ALTUSDT,2025-12-25,2025-12-25T00:00:00+00:00,0.5227,52266500.0,,Foundation/Treasury,linear,https://cryptorank.io/price/altlayer/vesting,https://tokenomist.ai/altlayer,False,partial_coverage_single_allocation
Grass,GRASS,GRASSUSDT,2025-12-28,2025-12-28T00:00:00+00:00,1.0501,10500840.0,,Early Investors,linear,https://cryptorank.io/price/grass/vesting,https://tokenomist.ai/grass,False,partial_coverage_single_allocation
Portal,PORTAL,PORTALUSDT,2025-12-29,2025-12-29T00:00:00+00:00,1.173,11730000.0,,Team & Advisors,linear,https://cryptorank.io/price/portal-coin/vesting,https://tokenomist.ai/portal-coin,False,partial_coverage_single_allocation
Renzo,REZ,REZUSDT,2025-12-31,2025-12-31T00:00:00+00:00,2.367,236700000.0,,Investors,linear,https://cryptorank.io/price/renzo-protocol/vesting,https://tokenomist.ai/renzo-protocol,False,partial_coverage_single_allocation
EigenCloud,EIGEN,EIGENUSDT,2026-01-01,2026-01-01T00:00:00+00:00,1.0982,19749030.68,,Investors,linear,https://cryptorank.io/price/eigenlayer/vesting,https://tokenomist.ai/eigenlayer,False,partial_coverage_single_allocation
BounceBit,BB,BBUSDT,2026-01-13,2026-01-13T00:00:00+00:00,1.05,22050000.0,,Investors,linear,https://cryptorank.io/price/bouncebit/vesting,https://tokenomist.ai/bouncebit,False,partial_coverage_single_allocation
StarkNet,STRK,STRKUSDT,2026-01-15,2026-01-15T00:00:00+00:00,0.6692,66921576.0,,Early Contributors,linear,https://cryptorank.io/price/starknet/vesting,https://tokenomist.ai/starknet,False,partial_coverage_single_allocation
Arbitrum,ARB,ARBUSDT,2026-01-16,2026-01-16T00:00:00+00:00,0.5612,56116020.0,,Team & Advisors,linear,https://cryptorank.io/price/arbitrum/vesting,https://tokenomist.ai/arbitrum,False,partial_coverage_single_allocation
Ondo Finance,ONDO,ONDOUSDT,2026-01-18,2026-01-18T00:00:00+00:00,7.9192,792052170.84,,Ecosystem Growth,linear,https://cryptorank.io/price/ondo-finance/vesting,https://tokenomist.ai/ondo-finance,False,partial_coverage_single_allocation
Merlin Chain,MERL,MERLUSDT,2026-01-19,2026-01-19T00:00:00+00:00,0.8332,17497200.0,,Ecosystem,linear,https://cryptorank.io/price/merlin-chain/vesting,https://tokenomist.ai/merlin-chain,False,partial_coverage_single_allocation
Pixels,PIXEL,PIXELUSDT,2026-01-19,2026-01-19T00:00:00+00:00,0.5573,27863000.0,,Ecosystem Rewards,linear,https://cryptorank.io/price/pixels/vesting,https://tokenomist.ai/pixels,False,partial_coverage_single_allocation
LayerZero,ZRO,ZROUSDT,2026-01-20,2026-01-20T00:00:00+00:00,1.3418,13417740.0,,Strategic Partners,linear,https://cryptorank.io/price/layerzero/vesting,https://tokenomist.ai/layerzero,False,partial_coverage_single_allocation
AltLayer,ALT,ALTUSDT,2026-01-25,2026-01-25T00:00:00+00:00,0.5227,52266500.0,,Foundation/Treasury,linear,https://cryptorank.io/price/altlayer/vesting,https://tokenomist.ai/altlayer,False,partial_coverage_single_allocation
Grass,GRASS,GRASSUSDT,2026-01-28,2026-01-28T00:00:00+00:00,1.0501,10500840.0,,Early Investors,linear,https://cryptorank.io/price/grass/vesting,https://tokenomist.ai/grass,False,partial_coverage_single_allocation
Portal,PORTAL,PORTALUSDT,2026-01-29,2026-01-29T00:00:00+00:00,1.173,11730000.0,,Team & Advisors,linear,https://cryptorank.io/price/portal-coin/vesting,https://tokenomist.ai/portal-coin,False,partial_coverage_single_allocation
Renzo,REZ,REZUSDT,2026-01-31,2026-01-31T00:00:00+00:00,2.367,236700000.0,,Investors,linear,https://cryptorank.io/price/renzo-protocol/vesting,https://tokenomist.ai/renzo-protocol,False,partial_coverage_single_allocation
EigenCloud,EIGEN,EIGENUSDT,2026-02-01,2026-02-01T00:00:00+00:00,1.0982,19749030.68,,Investors,linear,https://cryptorank.io/price/eigenlayer/vesting,https://tokenomist.ai/eigenlayer,False,partial_coverage_single_allocation
BounceBit,BB,BBUSDT,2026-02-13,2026-02-13T00:00:00+00:00,1.05,22050000.0,,Investors,linear,https://cryptorank.io/price/bouncebit/vesting,https://tokenomist.ai/bouncebit,False,partial_coverage_single_allocation
StarkNet,STRK,STRKUSDT,2026-02-15,2026-02-15T00:00:00+00:00,0.6692,66921576.0,,Early Contributors,linear,https://cryptorank.io/price/starknet/vesting,https://tokenomist.ai/starknet,False,partial_coverage_single_allocation
Arbitrum,ARB,ARBUSDT,2026-02-16,2026-02-16T00:00:00+00:00,0.5612,56116020.0,,Team & Advisors,linear,https://cryptorank.io/price/arbitrum/vesting,https://tokenomist.ai/arbitrum,False,partial_coverage_single_allocation
Merlin Chain,MERL,MERLUSDT,2026-02-19,2026-02-19T00:00:00+00:00,0.8332,17497200.0,,Ecosystem,linear,https://cryptorank.io/price/merlin-chain/vesting,https://tokenomist.ai/merlin-chain,False,partial_coverage_single_allocation
Pixels,PIXEL,PIXELUSDT,2026-02-19,2026-02-19T00:00:00+00:00,0.5573,27863000.0,,Ecosystem Rewards,linear,https://cryptorank.io/price/pixels/vesting,https://tokenomist.ai/pixels,False,partial_coverage_single_allocation
LayerZero,ZRO,ZROUSDT,2026-02-20,2026-02-20T00:00:00+00:00,1.3418,13417740.0,,Strategic Partners,linear,https://cryptorank.io/price/layerzero/vesting,https://tokenomist.ai/layerzero,False,partial_coverage_single_allocation
AltLayer,ALT,ALTUSDT,2026-02-25,2026-02-25T00:00:00+00:00,0.5227,52266500.0,,Foundation/Treasury,linear,https://cryptorank.io/price/altlayer/vesting,https://tokenomist.ai/altlayer,False,partial_coverage_single_allocation
Grass,GRASS,GRASSUSDT,2026-02-28,2026-02-28T00:00:00+00:00,1.0501,10500840.0,,Early Investors,linear,https://cryptorank.io/price/grass/vesting,https://tokenomist.ai/grass,False,partial_coverage_single_allocation
Portal,PORTAL,PORTALUSDT,2026-02-28,2026-02-28T00:00:00+00:00,1.173,11730000.0,,Team & Advisors,linear,https://cryptorank.io/price/portal-coin/vesting,https://tokenomist.ai/portal-coin,False,partial_coverage_single_allocation
Renzo,REZ,REZUSDT,2026-02-28,2026-02-28T00:00:00+00:00,2.367,236700000.0,,Investors,linear,https://cryptorank.io/price/renzo-protocol/vesting,https://tokenomist.ai/renzo-protocol,False,partial_coverage_single_allocation
EigenCloud,EIGEN,EIGENUSDT,2026-03-01,2026-03-01T00:00:00+00:00,1.0982,19749030.68,,Investors,linear,https://cryptorank.io/price/eigenlayer/vesting,https://tokenomist.ai/eigenlayer,False,partial_coverage_single_allocation
BounceBit,BB,BBUSDT,2026-03-13,2026-03-13T00:00:00+00:00,1.05,22050000.0,,Investors,linear,https://cryptorank.io/price/bouncebit/vesting,https://tokenomist.ai/bouncebit,False,partial_coverage_single_allocation
StarkNet,STRK,STRKUSDT,2026-03-15,2026-03-15T00:00:00+00:00,0.6692,66921576.0,,Early Contributors,linear,https://cryptorank.io/price/starknet/vesting,https://tokenomist.ai/starknet,False,partial_coverage_single_allocation
Arbitrum,ARB,ARBUSDT,2026-03-16,2026-03-16T00:00:00+00:00,0.5612,56116020.0,,Team & Advisors,linear,https://cryptorank.io/price/arbitrum/vesting,https://tokenomist.ai/arbitrum,False,partial_coverage_single_allocation
Merlin Chain,MERL,MERLUSDT,2026-03-19,2026-03-19T00:00:00+00:00,0.8332,17497200.0,,Ecosystem,linear,https://cryptorank.io/price/merlin-chain/vesting,https://tokenomist.ai/merlin-chain,False,partial_coverage_single_allocation
Pixels,PIXEL,PIXELUSDT,2026-03-19,2026-03-19T00:00:00+00:00,0.5573,27863000.0,,Ecosystem Rewards,linear,https://cryptorank.io/price/pixels/vesting,https://tokenomist.ai/pixels,False,partial_coverage_single_allocation
LayerZero,ZRO,ZROUSDT,2026-03-20,2026-03-20T00:00:00+00:00,1.3418,13417740.0,,Strategic Partners,linear,https://cryptorank.io/price/layerzero/vesting,https://tokenomist.ai/layerzero,False,partial_coverage_single_allocation
AltLayer,ALT,ALTUSDT,2026-03-25,2026-03-25T00:00:00+00:00,0.5227,52266500.0,,Foundation/Treasury,linear,https://cryptorank.io/price/altlayer/vesting,https://tokenomist.ai/altlayer,False,partial_coverage_single_allocation
Portal,PORTAL,PORTALUSDT,2026-03-29,2026-03-29T00:00:00+00:00,1.173,11730000.0,,Team & Advisors,linear,https://cryptorank.io/price/portal-coin/vesting,https://tokenomist.ai/portal-coin,False,partial_coverage_single_allocation
Grass,GRASS,GRASSUSDT,2026-03-31,2026-03-31T00:00:00+00:00,1.0501,10500840.0,,Early Investors,linear,https://cryptorank.io/price/grass/vesting,https://tokenomist.ai/grass,False,partial_coverage_single_allocation
Renzo,REZ,REZUSDT,2026-03-31,2026-03-31T00:00:00+00:00,2.367,236700000.0,,Investors,linear,https://cryptorank.io/price/renzo-protocol/vesting,https://tokenomist.ai/renzo-protocol,False,partial_coverage_single_allocation
EigenCloud,EIGEN,EIGENUSDT,2026-04-01,2026-04-01T00:00:00+00:00,1.0982,19749030.68,,Investors,linear,https://cryptorank.io/price/eigenlayer/vesting,https://tokenomist.ai/eigenlayer,False,partial_coverage_single_allocation
BounceBit,BB,BBUSDT,2026-04-13,2026-04-13T00:00:00+00:00,1.05,22050000.0,,Investors,linear,https://cryptorank.io/price/bouncebit/vesting,https://tokenomist.ai/bouncebit,False,partial_coverage_single_allocation
StarkNet,STRK,STRKUSDT,2026-04-15,2026-04-15T00:00:00+00:00,0.6692,66921576.0,,Early Contributors,linear,https://cryptorank.io/price/starknet/vesting,https://tokenomist.ai/starknet,False,partial_coverage_single_allocation
Arbitrum,ARB,ARBUSDT,2026-04-16,2026-04-16T00:00:00+00:00,0.5612,56116020.0,,Team & Advisors,linear,https://cryptorank.io/price/arbitrum/vesting,https://tokenomist.ai/arbitrum,False,partial_coverage_single_allocation
Merlin Chain,MERL,MERLUSDT,2026-04-19,2026-04-19T00:00:00+00:00,0.8332,17497200.0,,Ecosystem,linear,https://cryptorank.io/price/merlin-chain/vesting,https://tokenomist.ai/merlin-chain,False,partial_coverage_single_allocation
Pixels,PIXEL,PIXELUSDT,2026-04-19,2026-04-19T00:00:00+00:00,0.5573,27863000.0,,Ecosystem Rewards,linear,https://cryptorank.io/price/pixels/vesting,https://tokenomist.ai/pixels,False,partial_coverage_single_allocation
LayerZero,ZRO,ZROUSDT,2026-04-20,2026-04-20T00:00:00+00:00,1.3418,13417740.0,,Strategic Partners,linear,https://cryptorank.io/price/layerzero/vesting,https://tokenomist.ai/layerzero,False,partial_coverage_single_allocation
AltLayer,ALT,ALTUSDT,2026-04-25,2026-04-25T00:00:00+00:00,0.5227,52266500.0,,Foundation/Treasury,linear,https://cryptorank.io/price/altlayer/vesting,https://tokenomist.ai/altlayer,False,partial_coverage_single_allocation
Portal,PORTAL,PORTALUSDT,2026-04-29,2026-04-29T00:00:00+00:00,1.173,11730000.0,,Team & Advisors,linear,https://cryptorank.io/price/portal-coin/vesting,https://tokenomist.ai/portal-coin,False,partial_coverage_single_allocation
Grass,GRASS,GRASSUSDT,2026-04-30,2026-04-30T00:00:00+00:00,1.0501,10500840.0,,Early Investors,linear,https://cryptorank.io/price/grass/vesting,https://tokenomist.ai/grass,False,partial_coverage_single_allocation
Renzo,REZ,REZUSDT,2026-04-30,2026-04-30T00:00:00+00:00,2.367,236700000.0,,Investors,linear,https://cryptorank.io/price/renzo-protocol/vesting,https://tokenomist.ai/renzo-protocol,False,partial_coverage_single_allocation
EigenCloud,EIGEN,EIGENUSDT,2026-05-01,2026-05-01T00:00:00+00:00,1.0982,19749030.68,,Investors,linear,https://cryptorank.io/price/eigenlayer/vesting,https://tokenomist.ai/eigenlayer,False,partial_coverage_single_allocation
BounceBit,BB,BBUSDT,2026-05-13,2026-05-13T00:00:00+00:00,1.05,22050000.0,,Investors,linear,https://cryptorank.io/price/bouncebit/vesting,https://tokenomist.ai/bouncebit,False,partial_coverage_single_allocation
StarkNet,STRK,STRKUSDT,2026-05-15,2026-05-15T00:00:00+00:00,0.6692,66921576.0,,Early Contributors,linear,https://cryptorank.io/price/starknet/vesting,https://tokenomist.ai/starknet,False,partial_coverage_single_allocation
Arbitrum,ARB,ARBUSDT,2026-05-16,2026-05-16T00:00:00+00:00,0.5612,56116020.0,,Team & Advisors,linear,https://cryptorank.io/price/arbitrum/vesting,https://tokenomist.ai/arbitrum,False,partial_coverage_single_allocation
